content,creationTime,score,productSize,location
外形外观：方方正正，大气 屏幕音效：三星屏幕没得孙 拍照效果：非常清晰 运行速度：快 待机时间：能接受,2023-04-11 21:28:33,5星评论,12GB+256GB,黑龙江
苹果14pro丢了，8年后再一次用三星手机，主要看价格非常合适，配置除了CPU和23u差距不大，真实感受现在的三星系统和以前真的天差地别，很是流畅，屏幕除了大，色彩真棒，续航也不像网上说的那么差，和之前用的苹果14pro比也差不多，最后的百分之十特别耐用，我每天打三四把王者，一天足够，用三星45瓦充电器一小时充满，推荐购买,2023-04-10 15:24:15,5星评论,12GB+256GB,河北
商品质量非常好，颜色漂亮清澈，做工轻薄，还很大气，拿起来舒服。 活动价入手的商品，性价比还是不错的。 没有充电器是一大遗憾。,2023-04-04 14:43:25,5星评论,12GB+256GB,辽宁
外形外观：外观大气，手感非常好 屏幕音效：三星屏幕，手机里的天花板级别 拍照效果：比苹果好哈 运行速度：非常快，值得入手,2023-04-07 15:07:24,5星评论,12GB+256GB,广西
整体性能还不错，毕竟是三星高端机。这台手机重量不轻，体积算是三星机型中比较大的。但是续航能力并不像个头那么突出，整体来说不如Note版本。外放音效不如note细腻。保留了长截图模式，方便。但是剪贴板没有了多任务复制，粘贴功能。,2023-05-01 00:43:07,4星评论,12GB+256GB,北京
外形外观：整体不错，算是三星机型里个头比较大的。 屏幕音效：外放音效一般，不如Note7。 待机时间：虽然个头比较大，电池容量跟Note7差不多，但是续航性能不如Note。 整体性能不错。但是缺少了note版多复制粘贴的剪贴板功能。,2023-05-01 00:31:26,4星评论,12GB+256GB,北京
研究好久了，这代也够用了，电池续航也没有那么不堪，屏幕，声音都很好，系统也算优化不错了，可以平替iPhone14pro了。用了半个月的主力机，感觉????拍照好棒，请看直出样张,2023-04-13 15:21:38,5星评论,12GB+256GB,北京
东西收到，很满意！真的是超级好的卖家，解答疑问不厌其烦，细致认真，关键是东西好，而且货物发得超快，包装仔细，值得信赖!,2023-04-25 13:28:21,5星评论,12GB+256GB,广东
处理器落后了一代吧 手机还是相当漂亮的 办公相当好用 不过分辨率不推荐最高 耗电有点快 我是真喜欢这个颜值 白色的相当帅 拍照也可以 总的来说挺不错,2023-04-05 16:49:46,5星评论,12GB+256GB,广东
手机收到了，很棒，速度流畅是正品！非常满意！大品牌信得过！下次还来这家店买！这台手机换主力机了，把苹果11换下来了。五星好评！,2023-03-29 20:15:39,5星评论,12GB+256GB,广东
手机显示效果没得说碾压国产机，拍照效果很好色彩还原很准，外观不用说了无敌，就是不敢把屏幕分辨率开到最高费电。一天一充没问题。以前用过三星的不觉得系统不好用运行速度可以，不打游戏不发热，本来打算买23的觉得外观相机升级不大所以买22很划算。,2023-03-31 11:28:29,5星评论,12GB+256GB,河北
东西非常好，价廉物美，比其他平台便宜很多。京东自营店第1次买，目前用了一个星期，没什么太大的问题挺好的，下次还来这里买,2023-03-29 02:21:09,5星评论,12GB+256GB,浙江
外形外观：好看，实物跟图片一样 屏幕音效：手机外放声音大清晰 拍照效果：照片放大清晰度一般，拍远处确实要比以前的n8清晰 运行速度：还是挺流畅的 待机时间：目前还好，还没重度使用过 其他特色：总结使用体验还是很不错的。,2023-03-29 07:32:10,5星评论,12GB+512GB,湖南
做工没的说，屏幕很棒，等手机壳和膜到了才用，目前体验电池也就一天，刚刚够用。系统有些复杂，需要适应熟悉一下。京东配送很快，下单第二天就到了，赞。,2022-11-26 14:38:16,5星评论,12GB+256GB,Not Found ip
活动价格美丽，一起买了两部手机，一个白色，一个黑色。???白色自用，黑色送姐姐，很有手感，感觉略重，拍照色彩依然那么明亮，棒棒哒,2022-12-26 11:32:39,5星评论,12GB+256GB,Not Found ip
速度快 功能强大 分辨率高 非常好 特别喜欢好使用 希望使用效果很好 希望大家喜欢 屏幕非常清晰 看着不错非常好,2022-11-08 22:15:42,5星评论,12GB+256GB,Not Found ip
外观非常漂亮； 像素非常好； 尺寸大点，一只手拿不好； 移动信号不错，不过wifi信号特别差； 运营挺流畅，不过操作系统不太人性化，例如一般人右手拿手机来电话它的接听滑动却在左侧、曲屏的返回功能也不太好用； 最好就是需要授权的事一遍遍的太繁琐了！,2023-01-24 09:02:52,3星评论,12GB+256GB,Not Found ip
屏幕效果一流，显示非常清晰，拍照效果一流，外观设计时尚大气，手机背面的磨砂质感拿起来很舒服，各种软件运行起来十分流畅，触控笔很适合日常办公使用。,2022-11-19 11:28:55,5星评论,12GB+256GB,Not Found ip
外形外观：外观高端大气，颜值很高 屏幕音效：市面最强屏幕，跟苹果的屏幕比显示效果不同，看着很舒服 拍照效果：拍照效果无敌，吊打市面上亿像素手机 运行速度：用了半个月了，速度很快，无卡顿， 待机时间：双持手机一天一充，待机还可以，没有网上说的那么差 有些人为了黑而黑，这款手机是2022最强的安卓机，不需要辩驳,2022-11-23 14:48:57,5星评论,12GB+256GB,Not Found ip
外形外观：外观特别好看，白色很抢眼 屏幕音效：屏幕效果很棒，用不回原来的手机了 拍照效果：拍照很好，清晰度极高 运行速度：速度很快，但后台显示程序太多了，比较闹心 待机时间：掉电很快，不适合不经用，打不到新款iPhone和华为的耐久度,2022-11-05 15:18:13,5星评论,12GB+512GB,Not Found ip
外形外观：非常商务膜都没舍得撕掉 屏幕音效：音效很好，毕竟新手机嘛 拍照效果：绝对了，非常清晰。像素巨高 待机时间：待机时间：不玩游戏， 正常使用能用两天。  算是给自己的新年礼物，很喜欢。现在两个手机都是三星的，s10也还在用。,2023-01-06 22:36:44,5星评论,12GB+256GB,Not Found ip
外形外观：是曲面屏，但不是那么曲面，手感特别的好，选的紫色，也是满满的高级感！ 屏幕音效：屏幕当然是三星的王牌啦，指纹和面部识别都很快！ 拍照效果：人像绝绝子，长焦有些鸡肋了 运行速度：新手机很快 待机时间：一天一冲吧 p比不过iphone,2022-11-17 01:30:54,5星评论,12GB+256GB,Not Found ip
总体来说还是可以的，外观比图片好看。屏幕显示感觉还是不错的，显示细腻。近距离微距拍摄效果好。就是不能快充是件很麻烦的事。,2022-11-11 21:17:39,5星评论,12GB+256GB,Not Found ip
从fold3转轴出问题转战而来，手表，耳机全生态，换手机品牌很麻烦。拍照比fold3好很多，偶尔发热。红色很赞,2023-02-03 17:14:14,5星评论,12GB+256GB,Not Found ip
产品质量很好，拍照十分清楚，性能极佳，色彩分辨率高，手感好，运行速度快，待机时间长，音效极佳，屏幕清晰。,2022-11-05 19:56:34,5星评论,12GB+256GB,Not Found ip
外形外观：非常大气美观，设计很好！ 屏幕音效：色彩很好，音效很好 拍照效果：非常完美，焦虑也很好，这个是三星的强项。  运行速度：速度很快，流畅！ 待机时间：时间长。,2022-11-16 18:13:58,5星评论,12GB+512GB,Not Found ip
一款非常不错的手机，三星手机，显示屏幕非常棒，系统流畅。不错不错，外观很好看，做工也很精细，非常满意。流畅，笔很舒服，屏幕显示一流，拍照长焦无敌！！！！！！用了几天了 很满意 高刷优化很好 没有割裂感 影响系统全面 对焦又准又快 工业设计 也是三星强项 颜值和质感都很好！,2022-12-06 20:25:26,5星评论,12GB+512GB,Not Found ip
种草好久，赶上双十一终于到手了，三星手机一如既往的好，手握三星s10，s20+s23u，每一次都是令人惊艳的升级，手机质感非常好，到手就更新了最新的系统，三星的系统支持真是赞，前两部手机都是几乎每个月有一次小更新，让人用的放心。,2022-12-13 00:23:39,5星评论,12GB+256GB,Not Found ip
大屏，用起来很舒服，速度快，清晰度高。做工很精细，书写方便流畅，待机时间长，充电时间短，很快就充满了。强大的摄像头，拍照不用美颜相机，都可以拍得美美哒。,2022-11-16 17:35:51,5星评论,12GB+256GB,Not Found ip
很好看的手机，在京东参加活动，价格也很优惠，京东快递送货上门速度也很快，很好的商品，三星用了好多年了，还是挺好的，颜值一直不错，使用也很方便。,2023-01-10 08:31:35,5星评论,12GB+256GB,Not Found ip
早就关注的三星安卓机皇到手了，真是爱不释手。轻薄、屏幕非常清晰、高刷无不显示它的与众不同。网上对比了多家，双十一活动在京东自营买到，放心、安心，爱了！,2022-11-12 10:01:09,5星评论,12GB+256GB,Not Found ip
