content,creationTime,score,productSize,location
手机很不错的，触屏顺滑反应灵敏，看着也很清晰，手机的拍照像素很高清，前置美颜相机也很清晰，效果很好。性价比高，操作也是非常的方便的，非常好看，质量也是非常不错哦。,2023-04-24 07:58:35,5星评论,128GB,广东
之前手机内存不够用了，这次买了512G，够用好久了，开箱看到实物，银色真的超美，很干净的颜色，无法形容的美，超喜欢银色，也非常好搭配手机壳，手机非常的流畅，使用了一段时间，没有任何问题，拍照非常清晰，灵动岛有时候还是很实用的，手机一直在京东买的，物流服务一如即往的好，很满意。,2023-04-09 19:25:34,5星评论,512GB,湖北
实在太美了，期待了好久想换新的，特别喜欢这个金色，其实刚开始想买暗夜紫色，后来发现之前的墨绿的也是深色系，有点想换浅色的了，这款真的无比美啊！好用就不用说了！忠实果粉十几年的。,2023-04-25 01:41:53,5星评论,256GB,四川
看到特价，卖一台大Pro，备用机。 手上小的，暗紫色，赶潮流买了新上的色，到现在发现还是银色漂亮，大气。 从iPhone4开始，一直是果粉，用过都知道。 完美！,2023-04-16 13:16:45,5星评论,256GB,马来西亚
手机外观没的说，手感很不错，买的最大内存，很喜欢，京东上买比别家便宜，有保障，最看中送货的速度，真的是特别的快，目前没发现问题！,2023-04-12 19:22:49,5星评论,1TB,北京
下单了第二天就到，很方便。以前买手机都去实体店，现在网上买更方便，苹果手机扫码数据就可以直接转移。自己在家1个小时就搞定了。,2023-04-10 13:14:15,5星评论,1TB,福建
"入手了苹果14pro max金色,质量有保证京东快递小哥送货上门速度还快，用了几天很好，尤其是拍照视频照片清晰完美，太好啦",2023-04-17 21:13:37,5星评论,256GB,上海
外形外观：紫色的，颜色真好看 拍照效果：真实，无美颜的 运行速度：没感觉到特别快 待机时间：Max电池容量大、白天一整天可以不充电、这点明显好 其他特色：就是太沉啦 像板砖累手,2023-04-20 14:11:38,5星评论,1TB,辽宁
送的很快，选了同城速递，没一个小时就到了，手感很丝滑，运行很流畅，外观很好看。一直纠结金色还是银色，到手还可以,2023-04-25 20:49:18,5星评论,256GB,北京
外形外观：外观没有差评里说的有瑕疵镜头有灰 屏幕音效：屏幕超级棒，看着舒服细腻 拍照效果：直接拍成电影了牛哇 运行速度：地表最强手机处理器不是盖的 待机时间：待机很强，没有网上说的使用这么强，和我之前的华为mate30待机差不多,2023-04-26 13:38:22,5星评论,256GB,安徽
