content,creationTime,score,productSize,location
还可以的，就是等这个手机等了好久他才有这个颜色，质量不错，比外面贵了一点点  但是质量好，服务不错  下次再来  我买的是258g    黑色,2023-04-07 12:41:04,5星评论,256G,浙江
se真的是小屏党的心头好了。手里一台13mini，现在又入了一台se。平常就是用来回复消息，用电一天一充毫无困难。比起13mini se真的更适合单手操作。一个好芯?一块好屏真的承担了日常生活的基本需求。有的时候都冷落平板主要用se娱乐了。 午夜色的背板也不要太好看。回来之后经常把壳摘掉把玩????。一个手机不仅是电子产品。新的配色也增加了原有的模具的美学感。 如果日常对手机依赖不大，又不需要用手机处理大量工作，且不需要拍照的伙伴可以直接入了。 总结来说就是 好芯?好屏?实体按键?轻便,2023-04-12 10:36:09,5星评论,128G,北京
外形外观：给父亲买的，之前一直用的iPhone 7，用了很多年了。这款外观以及按键操作都和iPhone7一样，可保持之前的操作和使用习惯，实现无缝切换非常方便。 屏幕音效：日常使用场景足够了 拍照效果：日常使用场景足够了 运行速度：比之前的明显流畅多了 待机时间：一天多一点 其他特色：支持5G,2023-04-29 23:49:19,5星评论,64G,四川
苹果的产品  无可挑剔    用多了大屏手机   猛的一用这个   手感好极了    就是这次物流很慢   从上海发货    等的时间有点久    做备用机    简直完美    我所有电子设备都是苹果    所以这对我是最好的选择,2023-04-15 19:28:38,5星评论,128G,河南
Apple iPhone SE(A2785)128G 午夜色 支持移动联通电信5G手机，这个公司测试机使用，很不错的东东，，值得拥有,2023-04-11 13:56:08,5星评论,128G,北京
外形外观：外观好看，星光色很干净  屏幕音效：屏幕音效一般，要是这个尺寸能做成真全面屏就好了！ 拍照效果：没啥可说的，不影响我扫码使用！  运行速度：A15处理器，性能完全够用，很强！  待机时间：不打游戏，还算可以,2023-04-05 01:28:43,5星评论,64G,广西
外形外观：经典外观造型，虽然不是全面屏，但好在小巧，可以单手操作，这个尺寸里能有A15性能，真是小屏幕的福音 拍照效果：苹果的机器照出来还是很好的 运行速度：当然是很快速 其他特色：应该可以用好久,2023-04-04 22:17:12,5星评论,128G,陕西
质量一直很稳定，挺好的。用苹果产品已经六七年了。除了电池差点，信号没有华为的好，其他都挺好。相比安卓机，系统顺畅，做工精致，总体满意。,2023-04-13 19:58:33,5星评论,128G,辽宁
Apple iPhone SE(A2785)128G 星光色 支持移动联通电信5G手机 好看，好用，满意。,2023-04-10 14:54:41,5星评论,128G,安徽
??Apple iPhone SE(A2785)128G 星光色 支持移动联通电信5G最后是代还有home健的手机??，简洁且外观漂亮，小屏幕用起来方便有ⅰPhone13的芯片精致美巧在京东自营买物流快且是原装正品放心购买,2023-04-06 19:34:48,5星评论,128G,福建
习惯用小屏手机和home键，所以还是入手了，星光色很好看，电池续航一般，不玩游戏，不看视频，这手机够用了,2023-04-14 08:50:38,5星评论,128G,浙江
外形外观：经典外观，大小合适，非常轻薄，握持感一流 屏幕音效：普通使用，完全够用。和SE2的屏幕比，SE3的屏幕显示有点偏黄。 拍照效果：普通使用，完全够用 运行速度：正常 待机时间：比SE2好。 其他特色：只推荐给喜欢指纹识别，轻薄顺滑握持感的消费者，或者考虑备用机的消费者。一款优点和缺点都很明显的经典手机。 京东快递小哥非常负责，很有责任心！,2023-03-01 15:14:09,5星评论,128G,Not Found ip
一直很喜欢小屏手机。也许是iphone 最后一代还有home 键的手机了，特意买了一个珍藏用。用的是15.6的系统，很流畅，不过期间出现一次重启的现象。不知道这是不是通病。平时拿手机手感好爽，太喜欢了,2023-03-20 23:51:04,5星评论,128G,浙江
ios的系统很简洁没有多余的广告，特别适合老人家用，本来想买个8，结果发现居然有se这个系列，保留了home键真的太赞了！买来给外婆用，她很喜欢，操作特别简单友好！,2023-03-06 19:31:43,5星评论,128G,Not Found ip
手机不错实惠又好看，给孩子买比较实用大小适中各种参数也够用，关键这个价格在别的评牌手机性价比高也不会让小孩有攀比心。京东自己的仓储物流也很准时的送达,2023-03-06 17:16:49,5星评论,128G,Not Found ip
手机是原装正品的，可以的，很不错的，手机的包装盒，很精致，美巧，很喜欢这样子的，，里面的，原装闪电线充电很快，包装规整，除了背面不怎么看的出来的一点点边隙基本上已经是完美的了，希望我的爱机，一往如行，顺利旅程陪伴我，么么哒！ 15秒 看着小屏幕，仿佛又回到了最初的感觉，小巧精致，系统稳定，适合给家人的使用。目前市面上唯一还有苹果在坚持小屏幕，很难得。,2023-03-25 17:59:38,5星评论,256G,山西
用在最新的SE上效果不错。很小巧。用在最新的SE上效果不错。很小巧。用在最新的SE上效果不错。很小巧。用在最新的SE上效果不错。很小巧。,2023-02-10 22:38:18,5星评论,256G,Not Found ip
激活时间和保修期对不上，保修期少45天,2022-06-14 11:54:17,3星评论,128G,Not Found ip
一直在用苹果  不需要追求最新的机型 这款也很不错 价格能接受 偏贵 还有原来的配方刘海款还没试过 下次再来,2023-02-19 12:07:37,5星评论,128G,Not Found ip
?卖家的服务态度真好，发货很快。商品质量也相当不错。价格很优惠，服务也很好，东西不错，太喜欢了，谢谢！,2023-03-06 10:47:28,5星评论,128G,Not Found ip
包装完好，外地调货2天送达，京东快递速度没的说。SE3苹果最便宜的手机，少见的小屏机，专门用来运动时携带，小而轻，非常合适。,2023-02-08 21:36:09,5星评论,128G,Not Found ip
春节期间好几天也没送货，自己去快递站取的。质量很好，与店家描述的完整一致。发货速度超级快，包装仔细严实，物流运送速度很快，很满意的一次购物。,2023-02-25 18:49:32,5星评论,128G,Not Found ip
用惯了大屏幕的，突然用这个小屏幕的感觉还挺好的，带在身上也不重，还可以放在钱包里面。现在这种大屏老重老重的，反而我觉得没有这种小的好了。,2023-02-19 00:06:09,5星评论,128G,Not Found ip
快递速度没得说，第二天就到了！对比了好几款，最后选了这款小巧玲珑的，喜欢。以旧换新，爱回收****，比较反感的是要注册它，录入个人资料,2023-02-26 22:29:07,5星评论,256G,Not Found ip
苹果se换se3。感觉还是小屏的方便。手机够用就好。不能一味追求大屏。系统16.3。速度很快。新的系统功能还在摸索中。总体来说很不错。希望可以和上一个手机一样。再战6年。,2023-03-10 15:24:01,5星评论,128G,Not Found ip
一直就喜欢用按键的苹果手机，这款手机有13的芯片，外观也是我喜欢的样式！?? 太棒了，给我女朋友也买了一台！???速度真的快！！！,2023-03-24 12:00:43,5星评论,128G,河北
给妈妈选的，现在想买一个小屏一点的手机非常不容易，也只有苹果可以选择了。妈妈以前也是用的苹果，应该会喜欢,2023-03-20 11:54:29,5星评论,128G,甘肃
外形外观：外形设计非常好看，苹果每一款的外形设计风格都很好看 屏幕音效：反应速度灵敏，音质清晰，还很好 拍照效果：像素拍照画面很震撼，我家是果粉，没一款手机都会买 运行速度：苹果系统很好，用几年都不卡，用到你不想用了都不卡，这点比安卓强 待机时间：正常待机一整天没问题,2023-03-27 21:32:46,5星评论,64G,安徽
外形外观：很小巧 屏幕音效：音效效果好 拍照效果：拍照效果不错 运行速度：速度很快 待机时间：一天很轻松,2023-02-05 22:48:16,5星评论,128G,Not Found ip
过年之前买的，因为有优惠3699下手购买，不过是从外地调货过来的运货就慢点，整体感觉还不错，精致小巧，手感也不错。做备用机刚好,2023-02-04 14:09:23,5星评论,128G,Not Found ip
买来做备用机的。苹果用了好几代，习惯了这个ISO系统，也喜欢它的可靠性和耐用性。唯一不足的是home键，不习惯了。,2023-03-11 23:33:05,5星评论,128G,Not Found ip
这是市面上少有的旗舰小屏幕手机了。支持5G，屏幕虽然小但是ios系统一样强大使用方便。手机做工出色，指纹解锁也很方便使用。,2023-03-17 22:56:24,5星评论,128G,上海
东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，很满意的一次购物,2023-03-12 12:37:12,5星评论,128G,Not Found ip
苹果手机品质没的说，价格也比较好，快递很给力，第二天就到货了，上手感觉比想象中的要小，但是这可能正是他的优点吧。,2023-03-02 14:43:08,5星评论,128G,Not Found ip
妈妈的老手机是苹果6s的，用了七八年了，是时候给她换个新手机了！这次整的se3，都用苹果的数据传输方便快捷，希望她喜欢！过年期间物流非常迅速了！！！,2023-01-23 17:05:11,5星评论,128G,Not Found ip
