content,creationTime,score,productSize,location
京东的效率真的是太高了，我晚上在直播间下单的，第二天上午就收到了，很喜欢这个华夏红的颜色，这部手机是作为母亲节礼物的，妈妈喜欢拍照片，选了个内存最大的，家里人都用的vivo手机，很喜欢，用着也很顺手，一键传机的功能很棒，直接转，非常满意!!,2023-04-20 20:04:06,5星评论,12GB+512GB,上海
屏幕显示效果不错，高刷用起来很流畅，打游戏很香，充电很快，早上起床洗漱的功夫就可以充满，玩一天没有问题，拍照清晰，打游戏也不容易发烫,2023-04-13 12:14:09,5星评论,8GB+256GB,安徽
外形外观：真的非常好看，和其他品牌的相比 这款手机的摄像头不会遮挡手指 其他品牌的放在后背 拿手机的时候手指会摸到摄像头 这款手机不会，而且荔枝皮的手感真的绝了，摄像头凸起也能接受 屏幕音效：屏幕观感非常舒适 高频调光对我这种眼睛敏感的用户非常好，我是从iQOO9Pro 转过来的 对于这款屏幕来说完全没有任何不适 现在国产屏的观感也非常好 有很大进步 拍照效果：样张见下图 观感真的非常好 除了个别时候还会有所有厂家都有的鬼影以外 纯净度什么的还真的不错 就是近景 拍照的时候还是有点缺陷 对焦只有中间对焦准确 周围的地方都是模糊的 远景的时候效果很好  运行速度：没有发现卡顿现象 优化也很好 之前用过一加 系统真的比OPPO的要好 待机时间：待机时间：重度用户 基本上一天两充 充电速度非常快 其他特色：希望能持续优化一下相机,2023-04-09 22:43:14,5星评论,12GB+512GB,辽宁
屏幕音效：护眼屏确实不错，看久了也不会眼睛不舒服 拍照效果：很nice  运行速度：目前没卡顿 待机时间：轻度使用一天一充,2023-04-07 12:35:45,5星评论,12GB+256GB,广东
护眼屏幕不错，不会出**睛伤的感觉，运行流畅不卡顿，上一个手机是s6，1100多天，新的x90pro真的很棒，充电速度嘎嘎快，闪充就是很不错，续航也不错，差不多一天没有问题,2023-04-19 10:29:13,5星评论,12GB+256GB,贵州
之前买了X90pro+用了一个月了感觉很不错，又入手了一部X90pro送给妈妈，喜欢拍照的不要错过这款。真的不错的说。而且一天就收到了，非常快。发几张美照。,2023-04-07 22:28:55,5星评论,8GB+256GB,广东
簡直就是我的夢中情機，朋友用的x60pro拍照很漂亮，我就瞬間愛上了，回家就把自己蘋果13 pro換成x90pro了，怎麼拍都好看，不用批圖不用美顏，絕了啊！就是剛換國產系統還不太習慣，慢慢摸索吧，哈哈。滿,2023-04-07 11:54:18,5星评论,8GB+256GB,广东
整体体验很好，之前用的iPhone拍照不偏不倚**无奇，换了大底子的手机感觉真的不一样，无论是风景人像还是人文记录都很有感觉，大光圈大底的虚化就是不一样，计算摄影的功力也很强。 手机各方面表现不错，充电超级快，整体功耗也很低耗电不快，使用起来目前没有感受到哪部分会拖后腿，时隔多年再用回发哥刮目相看，蓝厂已经不是**机了，现在单拎出来拍照也是冠绝群雄了，屏幕感觉也没啥问题，网上说的抹布感什么的暂时真没感觉出来，显示效果上和我之前的12没有什么区别，整体蛮不错 主要问题也有些，相机的功能不够完善，很多安卓手机其实都已经支持heif格式照片的拍摄了，希望vivo能跟进一下，毕竟内存占用小也更高效，还有相机的快速呼出其实可以增加多一点选择，比如双击电源键之类的，不然有时候急需抓拍的时候比麻烦，还有手电筒的亮度太暗了，基本上就是面前有亮光，希望如果可以可以OTA一下,2023-05-01 00:49:07,5星评论,12GB+512GB,广东
手机拍照很好，运行流畅，外观时尚大气，续航也很好，前天晚上买的，上午就到了，物流非常快，体验感很满意,2023-04-29 12:28:04,5星评论,8GB+256GB,江苏
外形外观：轻薄背面皮质手感非常棒！ 屏幕音效：屏幕色彩亮度看着很舒服 拍照效果：随手拍了几张照片，比旧手机有质的飞跃，拍照模式也有很多！其他的比如待机时间用过几天在进一步评价。,2023-04-04 20:56:59,5星评论,12GB+512GB,陕西
