content,creationTime,score,productSize,location
小米12S ?? 徕卡专业光学镜头摄影? 小米这次不玩黑科技，与徕卡专业光学摄影联合打造出新一代数字旗舰小米12S? 除了性能、显示、自拍和充电续航均升级为现今的旗舰级别外，这次的主打不仅有徕卡，还有全天候疾速影像功能，打造超一流的手机摄影体验? 后置镜头这次采用的是5000万像素主摄的三摄系统，超广角、长焦和微距，打造由远及近的全焦段摄影。大光圈+IMX707超感光传感器，在逆光和暗光环境下拍摄更加清晰锐利，人像摄影上更是有质的飞跃??。同时支持徕卡专业光学镜头和徕卡原生双画质，徕卡滤镜的植入让小米成像质量提升明显，数十年的徕卡专业调色供你选择，总有一款滤镜是你喜欢的? 重点还有小米专门深度打造的原生摄影系统，和强悍的旗舰性能支持下，可以做到在任何光感、任何场景和任何拍摄功能下都能做到疾速秒拍，轻轻一按拍摄，轻松记录清晰瞬间?。除此之外，还有小米OIS四轴光学防抖加持，远摄和拍摄视频又稳又清，这将是小米摄影功能的一大跃进，期待后期大家的照片? 总结：这次小米虽然没有了黑科技，却带来了成熟的徕卡专业光学影像，对于喜欢摄影的用户来说，将会是一个很大的吸引力?,2023-04-21 17:18:30,5星评论,全网通5G【米粉节专享】,山东
宝贝已收到?，超级喜欢，颜值高又实用，超级喜欢！???终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接物流很快，物品完好无损，用起来很舒服，喜欢?很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心,2023-04-22 12:29:07,5星评论,全网通5G,重庆
外形外观：白色背壳光洁亮丽，无套上手，个人感觉有点小，配上手机套各种舒适，握持感刚刚好，点赞。 运行速度：新机8+256版本，响应速度非常快，很顺手，手指操作应用反应灵敏，一会开了十几个后台不拖沓。 待机时间：昨晚充满，用了一天，到现在还有百分之63的电量，感觉还行吧。,2023-04-11 19:40:37,5星评论,全网通5G,湖北
等了好久，终于等到小米12S降到心里价位，感谢京东百亿补贴，入手了心心念念的小屏旗舰，手感非常好，拍照和性能都不错，用三年不是问题。,2023-04-27 23:55:35,5星评论,全网通5G,福建
外形外观：小巧玲珑，比我的小米11ultra秀气多了，非常适合女性使用。 屏幕音效：屏幕中规中矩，没有偏色现象，清晰度很高，哈曼卡顿音效非常满意！ 拍照效果：莱卡拍照名不虚传，效果惊艳。 运行速度：骁龙处理器非常强大，操作丝滑。,2023-05-03 16:39:47,5星评论,全网通5G,河北
关注了很久，这次京东百亿补贴活动力度很大，终于下手，性价比超高，小屏旗舰非12s莫属，和徕卡合作调教过的相机直出真的很讨喜，希望后续一直会将小屏旗舰做下去,2023-04-22 22:57:42,5星评论,全网通5G,浙江
这个时间段最便宜的小屏机了，降到我心里的价格，立马入手，收到机子后各种检查，确定原封机。12s手感真的无敌！,2023-04-15 09:19:05,5星评论,全网通5G,广东
小屏曲面屏手机，目前市场上手感无敌，可以和曾经的魅族手机手感一较高下，小米手机这两年手感明显进步了很多，相机拍照也够用。使用一段时间后发现唯一一个问题是相机拍视频后，相册处理视频无法旋转，这个处理功能缺失有点遗憾。其他一切都挺好。,2023-04-26 16:33:13,5星评论,全网通5G,江苏
12s应该是算是半年前的小屏旗舰吧，曲面屏，轻盈一握，手感非常舒服，CPU是8+gen1，性能模式安兔兔跑分107万多点，足够用了，IMX707大底相机晚上拍照清晰，哈曼卡顿立体声音质出众。,2023-04-13 19:47:32,5星评论,全网通5G,安徽
外观精致，运行流畅，拍照强大，尺寸小巧，充电速度快。唯一的问题是手机后壳是素皮的，买之前没注意，个人更喜欢玻璃。,2023-04-14 16:12:14,5星评论,全网通5G,山东
