index_content,word,nature,score,index_word
1,大小,b,5星评论,0
1,合适,a,5星评论,1
1,显示屏,n,5星评论,2
1,很,zg,5星评论,3
1,清晰,a,5星评论,4
1,操作系统,l,5星评论,5
1,非常,d,5星评论,6
1,流畅,a,5星评论,7
1,几年,m,5星评论,8
1,前用,v,5星评论,9
1,觉得,v,5星评论,10
1,设置,vn,5星评论,11
1,不,d,5星评论,12
1,科学,n,5星评论,13
1,现在,t,5星评论,14
1,系统优化,n,5星评论,15
1,后,f,5星评论,16
1,安卓,nr,5星评论,17
1,华为,nr,5星评论,18
1,鸿蒙,nr,5星评论,19
1,好,a,5星评论,20
1,点,q,5星评论,21
1,充电,v,5星评论,22
1,速度,n,5星评论,23
1,挺快,v,5星评论,24
1,续航,nr,5星评论,25
1,很,zg,5星评论,26
1,重要,a,5星评论,27
1,外形,n,5星评论,28
1,外观,n,5星评论,29
1,好,a,5星评论,30
1,屏幕,n,5星评论,31
1,音效,n,5星评论,32
1,很,d,5星评论,33
1,好,a,5星评论,34
1,拍照,v,5星评论,35
1,效果,n,5星评论,36
1,比较,d,5星评论,37
1,真实,d,5星评论,38
2,外形,n,5星评论,0
2,外观,n,5星评论,1
2,外观,n,5星评论,2
2,粉色,n,5星评论,3
2,特别,d,5星评论,4
2,好看,v,5星评论,5
2,很,d,5星评论,6
2,少女,n,5星评论,7
2,心,n,5星评论,8
2,青春,ns,5星评论,9
2,感,v,5星评论,10
2,颜值,n,5星评论,11
2,非常,d,5星评论,12
2,高,a,5星评论,13
2,屏幕,n,5星评论,14
2,音效,n,5星评论,15
2,双,n,5星评论,16
2,扬声器,nz,5星评论,17
2,音效,n,5星评论,18
2,一种,m,5星评论,19
2,立体,n,5星评论,20
2,声音,n,5星评论,21
2,屏幕,n,5星评论,22
2,.,m,5星评论,23
2,寸,m,5星评论,24
2,适中,v,5星评论,25
2,单手,n,5星评论,26
2,握持,v,5星评论,27
2,观感,n,5星评论,28
2,清晰,a,5星评论,29
2,明,a,5星评论,30
2,拍照,v,5星评论,31
2,效果,n,5星评论,32
2,算法,n,5星评论,33
2,拍照,v,5星评论,34
2,杠杠,n,5星评论,35
2,摄影,n,5星评论,36
2,中,f,5星评论,37
2,佼佼者,n,5星评论,38
2,中,f,5星评论,39
2,新增,v,5星评论,40
2,电影,n,5星评论,41
2,模式,n,5星评论,42
2,太,d,5星评论,43
2,炫酷,a,5星评论,44
2,效果,n,5星评论,45
2,直接,ad,5星评论,46
2,拉满,nr,5星评论,47
2,运行,v,5星评论,48
2,速度,n,5星评论,49
2,运行,v,5星评论,50
2,速度,n,5星评论,51
2,非常,d,5星评论,52
2,快,a,5星评论,53
2,相信,v,5星评论,54
2,系统,n,5星评论,55
2,不,d,5星评论,56
2,杀,v,5星评论,57
2,后台,n,5星评论,58
2,随便,d,5星评论,59
2,造,v,5星评论,60
2,待机时间,n,5星评论,61
2,运行,v,5星评论,62
2,内存,n,5星评论,63
2,算法,n,5星评论,64
2,降低,v,5星评论,65
2,功耗,n,5星评论,66
2,延长,v,5星评论,67
2,待机,n,5星评论,68
2,时,n,5星评论,69
2,长,a,5星评论,70
2,日常,d,5星评论,71
2,使用,v,5星评论,72
2,一天,m,5星评论,73
2,充,v,5星评论,74
2,没,v,5星评论,75
2,问题,n,5星评论,76
2,不是,c,5星评论,77
2,游戏,n,5星评论,78
2,党,n,5星评论,79
3,反应速度,n,5星评论,0
3,很快,d,5星评论,1
3,颜色,n,5星评论,2
3,旋转,v,5星评论,3
3,非常,d,5星评论,4
3,喜欢,v,5星评论,5
3,不用,v,5星评论,6
3,买壳,n,5星评论,7
3,操作系统,l,5星评论,8
3,真的,d,5星评论,9
3,太棒了,nr,5星评论,10
3,爱不释手,i,5星评论,11
3,没有,v,5星评论,12
3,广告,n,5星评论,13
3,弹窗,n,5星评论,14
3,选择,v,5星评论,15
3,最,a,5星评论,16
3,重要,a,5星评论,17
3,原因,n,5星评论,18
4,非常,d,5星评论,0
4,好,a,5星评论,1
4,值得,v,5星评论,2
4,无限,v,5星评论,3
4,回购,v,5星评论,4
4,外形,n,5星评论,5
4,外观,n,5星评论,6
4,好看,v,5星评论,7
4,简洁,a,5星评论,8
4,大方,n,5星评论,9
4,屏幕,n,5星评论,10
4,音效,n,5星评论,11
4,音效,n,5星评论,12
4,很,d,5星评论,13
4,好,a,5星评论,14
4,拍照,v,5星评论,15
4,效果,n,5星评论,16
4,清晰度,n,5星评论,17
4,高,a,5星评论,18
4,非常,d,5星评论,19
4,好,a,5星评论,20
4,拍,v,5星评论,21
4,运行,v,5星评论,22
4,速度,n,5星评论,23
4,快,a,5星评论,24
4,待机时间,n,5星评论,25
4,很,d,5星评论,26
4,长,a,5星评论,27
4,很,d,5星评论,28
4,长,a,5星评论,29
4,很,d,5星评论,30
4,长,a,5星评论,31
5,外形,n,5星评论,0
5,外观,n,5星评论,1
5,真,d,5星评论,2
5,香,a,5星评论,3
5,黑色,n,5星评论,4
5,非常,d,5星评论,5
5,气质,n,5星评论,6
5,手感,n,5星评论,7
5,很,d,5星评论,8
5,好,a,5星评论,9
5,屏幕,n,5星评论,10
5,音效,n,5星评论,11
5,屏幕,n,5星评论,12
5,视网膜,n,5星评论,13
5,屏,n,5星评论,14
5,显示,v,5星评论,15
5,效果,n,5星评论,16
5,清晰,a,5星评论,17
5,运行,v,5星评论,18
5,速度,n,5星评论,19
5,操作,v,5星评论,20
5,非常,d,5星评论,21
5,流畅,a,5星评论,22
6,非常,d,5星评论,0
6,喜欢,v,5星评论,1
6,粉色,n,5星评论,2
6,配色,n,5星评论,3
6,屏幕显示,n,5星评论,4
6,效果,n,5星评论,5
6,非常,d,5星评论,6
6,细腻,a,5星评论,7
6,目,t,5星评论,8
6,音效,n,5星评论,9
6,做工,v,5星评论,10
6,方面,n,5星评论,11
6,儿,n,5星评论,12
6,高中,s,5星评论,13
6,低音,n,5星评论,14
6,分明,v,5星评论,15
6,音效,n,5星评论,16
6,效果,n,5星评论,17
6,非常,d,5星评论,18
6,好,a,5星评论,19
6,非常,d,5星评论,20
6,震撼,v,5星评论,21
6,拍摄,v,5星评论,22
6,效果,n,5星评论,23
6,非常,d,5星评论,24
6,好,a,5星评论,25
6,运行,v,5星评论,26
6,速度,n,5星评论,27
6,搭载,v,5星评论,28
6,仿生,v,5星评论,29
6,系列,q,5星评论,30
6,处理器,n,5星评论,31
6,最佳,z,5星评论,32
6,系统,n,5星评论,33
6,整机,b,5星评论,34
6,流畅,a,5星评论,35
6,度,zg,5星评论,36
6,非常,d,5星评论,37
6,高,a,5星评论,38
6,时间,n,5星评论,39
6,长,a,5星评论,40
